"Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee"
"Cameron Jerome","Centre-Forward",25,"Birmingham","Championship","Stoke City","Premier League","2011-2012",4500000,4500000
"Ali Al-Habsi","Goalkeeper",29,"Bolton","Premier League","Wigan","Premier League","2011-2012",2000000,4300000
"Danny Graham","Centre-Forward",25,"Watford","Championship","Swansea","Premier League","2011-2012",1500000,3900000
"Ryan Bennett","Centre-Back",21,"Peterborough","Championship","Norwich","Premier League","2011-2012",250000,3850000
"Robbie Keane","Centre-Forward",31,"Spurs","Premier League","Los Angeles","MLS","2011-2012",7000000,3750000
"Shay Given","Goalkeeper",35,"Man City","Premier League","Aston Villa","Premier League","2011-2012",5500000,3750000
"Jamie O'Hara","Central Midfield",24,"Spurs","Premier League","Wolves","Premier League","2011-2012",4500000,3750000
"Marvin Sordell","Centre-Forward",20,"Watford","Championship","Bolton","Premier League","2011-2012",1000000,3600000
"Emmanuel Eboué","Right-Back",28,"Arsenal","Premier League","Galatasaray","Süper Lig","2011-2012",6000000,3500000
"Eden Hazard","Left Winger",21,"LOSC Lille","Ligue 1","Chelsea","Premier League","2012-2013",33000000,35000000
"Oscar","Attacking Midfield",20,"Internacional","Série A","Chelsea","Premier League","2012-2013",20000000,32000000
"Robin van Persie","Centre-Forward",29,"Arsenal","Premier League","Man Utd","Premier League","2012-2013",47500000,30700000
"Luka Modric","Central Midfield",26,"Spurs","Premier League","Real Madrid","LaLiga","2012-2013",40000000,30000000
"Javi García","Defensive Midfield",25,"Benfica","Liga NOS","Man City","Premier League","2012-2013",15000000,20200000
"Mario Balotelli","Centre-Forward",22,"Man City","Premier League","AC Milan","Serie A","2012-2013",24000000,20000000
"Alex Song","Defensive Midfield",24,"Arsenal","Premier League","FC Barcelona","LaLiga","2012-2013",25000000,19000000
"Santi Cazorla","Central Midfield",27,"Málaga CF","LaLiga","Arsenal","Premier League","2012-2013",20000000,19000000
"Mousa Dembélé","Central Midfield",25,"Fulham","Premier League","Spurs","Premier League","2012-2013",13000000,19000000
"Joe Allen","Central Midfield",22,"Swansea","Premier League","Liverpool","Premier League","2012-2013",4000000,19000000
"Shinji Kagawa","Attacking Midfield",23,"Bor. Dortmund","1.Bundesliga","Man Utd","Premier League","2012-2013",22000000,16000000
"Gastón Ramírez","Attacking Midfield",21,"Bologna","Serie A","Southampton","Premier League","2012-2013",13500000,15200000
"Steven Fletcher","Centre-Forward",25,"Wolves","Championship","Sunderland","Premier League","2012-2013",6000000,15200000
"Matija Nastasic","Centre-Back",19,"Fiorentina","Serie A","Man City","Premier League","2012-2013",5500000,15200000
"Lukas Podolski","Centre-Forward",27,"1. FC Köln","2.Bundesliga","Arsenal","Premier League","2012-2013",20000000,15000000
"Daniel Sturridge","Centre-Forward",23,"Chelsea","Premier League","Liverpool","Premier League","2012-2013",16000000,15000000
"Christopher Samba","Centre-Back",28,"Anzhi","Premier Liga","QPR","Premier League","2012-2013",15000000,15000000
"Jack Rodwell","Defensive Midfield",21,"Everton","Premier League","Man City","Premier League","2012-2013",15000000,15000000
"Carlos Vela","Right Winger",23,"Arsenal","Premier League","Real Sociedad","LaLiga","2012-2013",8000000,14000000
"Fabio Borini","Left Winger",21,"AS Roma","Serie A","Liverpool","Premier League","2012-2013",9000000,13300000
"Rafael van der Vaart","Attacking Midfield",29,"Spurs","Premier League","Hamburger SV","1.Bundesliga","2012-2013",24500000,13000000
"Philippe Coutinho","Attacking Midfield",20,"Inter","Serie A","Liverpool","Premier League","2012-2013",9000000,13000000
"Hugo Lloris","Goalkeeper",25,"Olympique Lyon","Ligue 1","Spurs","Premier League","2012-2013",19000000,12600000
"Adam Johnson","Right Winger",25,"Man City","Premier League","Sunderland","Premier League","2012-2013",10500000,12600000
"Jan Vertonghen","Centre-Back",25,"AFC Ajax","Eredivisie","Spurs","Premier League","2012-2013",15000000,12500000
"Olivier Giroud","Centre-Forward",25,"Montpellier","Ligue 1","Arsenal","Premier League","2012-2013",13000000,12000000
"Wilfried Zaha","Right Winger",20,"Crystal Palace","Championship","Man Utd","Premier League","2012-2013",3500000,11750000
"Victor Moses","Right Midfield",21,"Wigan","Premier League","Chelsea","Premier League","2012-2013",6500000,11500000
"Loïc Rémy","Centre-Forward",26,"Marseille","Ligue 1","QPR","Premier League","2012-2013",15000000,10500000
"Raúl Meireles","Central Midfield",29,"Chelsea","Premier League","Fenerbahce","Süper Lig","2012-2013",15000000,10000000
"Gylfi Sigurdsson","Attacking Midfield",22,"TSG Hoffenheim","1.Bundesliga","Spurs","Premier League","2012-2013",8500000,10000000
"Nacho Monreal","Left-Back",26,"Málaga CF","LaLiga","Arsenal","Premier League","2012-2013",6000000,10000000
"Matt Jarvis","Left Winger",26,"Wolves","Championship","West Ham","Premier League","2012-2013",8000000,9500000
"César Azpilicueta","Right-Back",23,"Marseille","Ligue 1","Chelsea","Premier League","2012-2013",7500000,8800000
"Christian Benteke","Centre-Forward",21,"KRC Genk","Jupiler Pro League","Aston Villa","Premier League","2012-2013",3000000,8800000
"Jay Rodríguez","Centre-Forward",22,"Burnley","Championship","Southampton","Premier League","2012-2013",5000000,8650000
"Demba Ba","Centre-Forward",27,"Newcastle","Premier League","Chelsea","Premier League","2012-2013",15000000,8500000
"Vurnon Anita","Defensive Midfield",23,"AFC Ajax","Eredivisie","Newcastle","Premier League","2012-2013",6000000,8500000
"Marko Marin","Left Winger",23,"Werder Bremen","1.Bundesliga","Chelsea","Premier League","2012-2013",13000000,8000000
"Mapou Yanga-Mbiwa","Centre-Back",23,"Montpellier","Ligue 1","Newcastle","Premier League","2012-2013",9000000,8000000
"Esteban Granero","Central Midfield",25,"Real Madrid","LaLiga","QPR","Premier League","2012-2013",7000000,8000000
"Scott Sinclair","Left Midfield",23,"Swansea","Premier League","Man City","Premier League","2012-2013",8000000,7800000
"Kevin Mirallas","Right Winger",24,"Olympiacos","Super League","Everton","Premier League","2012-2013",8000000,7650000
"Clint Dempsey","Second Striker",29,"Fulham","Premier League","Spurs","Premier League","2012-2013",15000000,7500000
"Asamoah Gyan","Centre-Forward",26,"Sunderland","Premier League","Al-Ain FC","UAE Gulf League","2012-2013",12000000,7500000
"Nick Powell","Attacking Midfield",18,"Crewe Alexandra","League One","Man Utd","Premier League","2012-2013",250000,7500000
"Pablo Hernández","Right Winger",27,"Valencia CF","LaLiga","Swansea","Premier League","2012-2013",9000000,7000000
"Niko Kranjcar","Attacking Midfield",27,"Spurs","Premier League","Dynamo Kyiv","Premier Liga","2012-2013",7500000,7000000
"Vedran Corluka","Centre-Back",26,"Spurs","Premier League","Loko Moscow","Premier Liga","2012-2013",7500000,7000000
"Sung-yong Ki","Defensive Midfield",23,"Celtic","Premiership","Swansea","Premier League","2012-2013",3500000,7000000
"Emmanuel Adebayor","Centre-Forward",28,"Man City","Premier League","Spurs","Premier League","2012-2013",25000000,6400000
"Mathieu Debuchy","Right-Back",27,"LOSC Lille","Ligue 1","Newcastle","Premier League","2012-2013",15000000,6200000
"Charlie Adam","Central Midfield",26,"Liverpool","Premier League","Stoke City","Premier League","2012-2013",8000000,6200000
"Stéphane Mbia","Defensive Midfield",26,"Marseille","Ligue 1","QPR","Premier League","2012-2013",9000000,6000000
"Iván Ramis","Centre-Back",27,"RCD Mallorca","LaLiga","Wigan","Premier League","2012-2013",6000000,6000000
"Modibo Maïga","Centre-Forward",24,"FC Sochaux","Ligue 1","West Ham","Premier League","2012-2013",5000000,6000000
"Danny Graham","Centre-Forward",27,"Swansea","Premier League","Sunderland","Premier League","2012-2013",4000000,5800000
"Steven Pienaar","Left Winger",30,"Spurs","Premier League","Everton","Premier League","2012-2013",7000000,5750000
"Ángelo Henríquez","Centre-Forward",18,"U. de Chile","Primera División","Man Utd","Premier League","2012-2013",150000,5500000
"Wallace Oliveira","Right-Back",18,"Fluminense","Série A","Chelsea","Premier League","2012-2013",2000000,5400000
"Dimitar Berbatov","Centre-Forward",31,"Man Utd","Premier League","Fulham","Premier League","2012-2013",11500000,5000000
"Ben Foster","Goalkeeper",29,"Birmingham","Championship","West Brom","Premier League","2012-2013",5000000,5000000
"Alexander Büttner","Left-Back",23,"Vitesse","Eredivisie","Man Utd","Premier League","2012-2013",3000000,5000000
"Alfred N'Diaye","Defensive Midfield",22,"Bursaspor","Süper Lig","Sunderland","Premier League","2012-2013",3800000,4700000
"Bryan Oviedo","Left-Back",22,"FC Copenhagen","Superligaen","Everton","Premier League","2012-2013",800000,4500000
"Steven Nzonzi","Defensive Midfield",23,"Blackburn","Championship","Stoke City","Premier League","2012-2013",4500000,4400000
"Oussama Assaidi","Left Winger",24,"Heerenveen","Eredivisie","Liverpool","Premier League","2012-2013",7000000,4000000
"Emmanuel Mayuka","Centre-Forward",21,"BSC Young Boys","Super League","Southampton","Premier League","2012-2013",6000000,4000000
"Samba Diakité","Defensive Midfield",23,"AS Nancy","Ligue 1","QPR","Premier League","2012-2013",4500000,4000000
"Arouna Koné","Centre-Forward",28,"Levante UD","LaLiga","Wigan","Premier League","2012-2013",7000000,3800000
"Ron Vlaar","Centre-Back",27,"Feyenoord","Eredivisie","Aston Villa","Premier League","2012-2013",6000000,3800000
"Leon Best","Centre-Forward",25,"Newcastle","Premier League","Blackburn","Championship","2012-2013",3000000,3800000
"Adrian Mariappa","Centre-Back",25,"Watford","Championship","Reading","Premier League","2012-2013",2000000,3800000
"Jack Butland","Goalkeeper",19,"Birmingham","Championship","Stoke City","Premier League","2012-2013",1000000,3800000
"Maicon","Right-Back",31,"Inter","Serie A","Man City","Premier League","2012-2013",14500000,3750000
"Junior Hoilett","Left Winger",22,"Blackburn","Championship","QPR","Premier League","2012-2013",9000000,3750000
"Matthew Lowton","Right-Back",23,"Sheffield Utd.","League One","Aston Villa","Premier League","2012-2013",3500000,3750000
"Nigel de Jong","Defensive Midfield",27,"Man City","Premier League","AC Milan","Serie A","2012-2013",13000000,3500000
"Gareth Bale","Right Winger",24,"Spurs","Premier League","Real Madrid","LaLiga","2013-2014",65000000,101000000
"Mesut Özil","Attacking Midfield",24,"Real Madrid","LaLiga","Arsenal","Premier League","2013-2014",40000000,47000000
"Juan Mata","Attacking Midfield",25,"Chelsea","Premier League","Man Utd","Premier League","2013-2014",38000000,44730000
"Fernandinho","Defensive Midfield",28,"Shakhtar D.","Premier Liga","Man City","Premier League","2013-2014",32000000,40000000
"Willian","Right Winger",25,"Anzhi","Premier Liga","Chelsea","Premier League","2013-2014",30000000,35500000
"Marouane Fellaini","Central Midfield",25,"Everton","Premier League","Man Utd","Premier League","2013-2014",28000000,32400000
"Roberto Soldado","Centre-Forward",28,"Valencia CF","LaLiga","Spurs","Premier League","2013-2014",28000000,30000000
"Érik Lamela","Right Winger",21,"AS Roma","Serie A","Spurs","Premier League","2013-2014",23000000,30000000
"Stevan Jovetic","Centre-Forward",23,"Fiorentina","Serie A","Man City","Premier League","2013-2014",28000000,26000000
"Nemanja Matic","Defensive Midfield",25,"Benfica","Liga NOS","Chelsea","Premier League","2013-2014",27000000,25000000
"Álvaro Negredo","Centre-Forward",27,"Sevilla FC","LaLiga","Man City","Premier League","2013-2014",20000000,25000000
"Yohan Cabaye","Central Midfield",28,"Newcastle","Premier League","Paris SG","Ligue 1","2013-2014",20000000,25000000
"André Schürrle","Left Winger",22,"Bay. Leverkusen","1.Bundesliga","Chelsea","Premier League","2013-2014",25000000,22000000
"Kevin De Bruyne","Attacking Midfield",22,"Chelsea","Premier League","VfL Wolfsburg","1.Bundesliga","2013-2014",15000000,22000000
"Jesús Navas","Right Winger",27,"Sevilla FC","LaLiga","Man City","Premier League","2013-2014",20000000,20000000
"Paulinho","Central Midfield",24,"Corinthians","Série A","Spurs","Premier League","2013-2014",12000000,19730000
"Mamadou Sakho","Centre-Back",23,"Paris SG","Ligue 1","Liverpool","Premier League","2013-2014",15000000,19000000
"Andy Carroll","Centre-Forward",24,"Liverpool","Premier League","West Ham","Premier League","2013-2014",11000000,17500000
"Mohamed Salah","Right Winger",21,"FC Basel","Super League","Chelsea","Premier League","2013-2014",8500000,16500000
"Wilfried Bony","Centre-Forward",24,"Vitesse","Eredivisie","Swansea","Premier League","2013-2014",12000000,16000000
"James McCarthy","Central Midfield",22,"Wigan","Championship","Everton","Premier League","2013-2014",7500000,15300000
"Konstantinos Mitroglou","Centre-Forward",25,"Olympiacos","Super League","Fulham","Premier League","2013-2014",7200000,15200000
"Daniel Osvaldo","Centre-Forward",27,"AS Roma","Serie A","Southampton","Premier League","2013-2014",17000000,15100000
"Kurt Zouma","Centre-Back",19,"Saint-Étienne","Ligue 1","Chelsea","Premier League","2013-2014",7500000,14600000
"Victor Wanyama","Defensive Midfield",22,"Celtic","Premiership","Southampton","Premier League","2013-2014",5000000,14500000
"Christian Eriksen","Attacking Midfield",21,"AFC Ajax","Eredivisie","Spurs","Premier League","2013-2014",18000000,13500000
"Gary Medel","Defensive Midfield",26,"Sevilla FC","LaLiga","Cardiff","Premier League","2013-2014",10000000,13000000
"Étienne Capoue","Defensive Midfield",25,"Toulouse","Ligue 1","Spurs","Premier League","2013-2014",13000000,11000000
"Iago Aspas","Right Winger",25,"Celta de Vigo","LaLiga","Liverpool","Premier League","2013-2014",9000000,10800000
"Simon Mignolet","Goalkeeper",25,"Sunderland","Premier League","Liverpool","Premier League","2013-2014",5500000,10600000
"Ricky van Wolfswinkel","Centre-Forward",24,"Sporting CP","Liga NOS","Norwich","Premier League","2013-2014",10500000,10000000
"Dejan Lovren","Centre-Back",24,"Olympique Lyon","Ligue 1","Southampton","Premier League","2013-2014",7000000,10000000
"Jozy Altidore","Centre-Forward",23,"AZ Alkmaar","Eredivisie","Sunderland","Premier League","2013-2014",5000000,10000000
"Vlad Chiriches","Centre-Back",23,"FCS Bucharest","Liga 1","Spurs","Premier League","2013-2014",8000000,9500000
"Marco van Ginkel","Central Midfield",20,"Vitesse","Eredivisie","Chelsea","Premier League","2013-2014",8000000,9400000
"Steven Caulker","Centre-Back",21,"Spurs","Premier League","Cardiff","Premier League","2013-2014",8000000,9150000
"Carlos Tévez","Second Striker",29,"Man City","Premier League","Juventus","Serie A","2013-2014",27000000,9000000
"Andreas Cornelius","Centre-Forward",20,"FC Copenhagen","Superligaen","Cardiff","Premier League","2013-2014",4500000,8700000
"Shane Long","Centre-Forward",27,"West Brom","Premier League","Hull City","Premier League","2013-2014",5500000,8500000
"Nacer Chadli","Left Winger",23,"FC Twente","Eredivisie","Spurs","Premier League","2013-2014",9000000,8150000
"Gervinho","Left Winger",26,"Arsenal","Premier League","AS Roma","Serie A","2013-2014",10000000,8000000
"Luis Alberto","Attacking Midfield",20,"Sevilla FC","LaLiga","Liverpool","Premier League","2013-2014",5000000,8000000
"Nikica Jelavic","Centre-Forward",28,"Everton","Premier League","Hull City","Premier League","2013-2014",6500000,7800000
"Emanuele Giaccherini","Left Winger",28,"Juventus","Serie A","Sunderland","Premier League","2013-2014",7500000,7500000
"Tiago Ilori","Centre-Back",20,"Sporting CP","Liga NOS","Liverpool","Premier League","2013-2014",1500000,7500000
"Jermain Defoe","Centre-Forward",31,"Spurs","Premier League","Toronto FC","MLS","2013-2014",6000000,7300000
"Stéphane Sessègnon","Attacking Midfield",29,"Sunderland","Premier League","West Brom","Premier League","2013-2014",9000000,7000000
"Arouna Koné","Centre-Forward",29,"Wigan","Championship","Everton","Premier League","2013-2014",5000000,7000000
"Clint Dempsey","Second Striker",30,"Spurs","Premier League","Sounders FC	","MLS","2013-2014",10000000,6800000
"Libor Kozak","Centre-Forward",24,"Lazio","Serie A","Aston Villa","Premier League","2013-2014",3800000,6500000
"Gary Hooper","Centre-Forward",25,"Celtic","Premiership","Norwich","Premier League","2013-2014",5000000,6300000
"Jonjo Shelvey","Central Midfield",21,"Liverpool","Premier League","Swansea","Premier League","2013-2014",5500000,5900000
"Victor Anichebe","Centre-Forward",25,"Everton","Premier League","West Brom","Premier League","2013-2014",5000000,5900000
"Stewart Downing","Left Midfield",29,"Liverpool","Premier League","West Ham","Premier League","2013-2014",8500000,5800000
"Tom Huddlestone","Defensive Midfield",26,"Spurs","Premier League","Hull City","Premier League","2013-2014",4500000,5800000
"Maarten Stekelenburg","Goalkeeper",30,"AS Roma","Serie A","Fulham","Premier League","2013-2014",5500000,5600000
"Leroy Fer","Central Midfield",23,"FC Twente","Eredivisie","Norwich","Premier League","2013-2014",7500000,5500000
"Dwight Gayle","Centre-Forward",22,"Peterborough","League One","Crystal Palace","Premier League","2013-2014",750000,5300000
"Martín Demichelis","Centre-Back",32,"Atlético Madrid","LaLiga","Man City","Premier League","2013-2014",3000000,5000000
"Jores Okore","Centre-Back",20,"Nordsjaelland","Superligaen","Aston Villa","Premier League","2013-2014",4000000,4700000
"Scott Parker","Central Midfield",32,"Spurs","Premier League","Fulham","Premier League","2013-2014",6000000,4500000
"Angeliño","Left-Back",16,"Depor Jugend"," Spain","Man City U18"," England","2013-2014",NA,4500000
"Joel Robles","Goalkeeper",23,"Atlético Madrid","LaLiga","Everton","Premier League","2013-2014",3000000,4000000
"Luis Suárez","Centre-Forward",27,"Liverpool","Premier League","FC Barcelona","LaLiga","2014-2015",52000000,81720000
"Ángel Di María","Right Winger",26,"Real Madrid","LaLiga","Man Utd","Premier League","2014-2015",50000000,75000000
"David Luiz","Centre-Back",27,"Chelsea","Premier League","Paris SG","Ligue 1","2014-2015",26000000,49500000
"Alexis Sánchez","Left Winger",25,"FC Barcelona","LaLiga","Arsenal","Premier League","2014-2015",30000000,42500000
"Diego Costa","Centre-Forward",25,"Atlético Madrid","LaLiga","Chelsea","Premier League","2014-2015",35000000,38000000
"Luke Shaw","Left-Back",18,"Southampton","Premier League","Man Utd","Premier League","2014-2015",13000000,37500000
"Ander Herrera","Central Midfield",24,"Athletic Bilbao","LaLiga","Man Utd","Premier League","2014-2015",20000000,36000000
"Romelu Lukaku","Centre-Forward",21,"Chelsea","Premier League","Everton","Premier League","2014-2015",25000000,35360000
"Cesc Fàbregas","Central Midfield",27,"FC Barcelona","LaLiga","Chelsea","Premier League","2014-2015",50000000,33000000
"Wilfried Bony","Centre-Forward",26,"Swansea","Premier League","Man City","Premier League","2014-2015",17000000,32300000
"André Schürrle","Left Winger",24,"Chelsea","Premier League","VfL Wolfsburg","1.Bundesliga","2014-2015",23000000,32000000
"Juan Cuadrado","Right Winger",26,"Fiorentina","Serie A","Chelsea","Premier League","2014-2015",32000000,31000000
"Adam Lallana","Attacking Midfield",26,"Southampton","Premier League","Liverpool","Premier League","2014-2015",7500000,31000000
"Eliaquim Mangala","Centre-Back",23,"FC Porto","Liga NOS","Man City","Premier League","2014-2015",28000000,30500000
"Dejan Lovren","Centre-Back",25,"Southampton","Premier League","Liverpool","Premier League","2014-2015",12000000,25300000
"Lazar Markovic","Right Winger",20,"Benfica","Liga NOS","Liverpool","Premier League","2014-2015",10000000,25000000
"Sadio Mané","Left Winger",22,"RB Salzburg","Bundesliga","Southampton","Premier League","2014-2015",7500000,23000000
"Calum Chambers","Centre-Back",19,"Southampton","Premier League","Arsenal","Premier League","2014-2015",2000000,20230000
"Mario Balotelli","Centre-Forward",24,"AC Milan","Serie A","Liverpool","Premier League","2014-2015",27000000,20000000
"Danny Welbeck","Centre-Forward",23,"Man Utd","Premier League","Arsenal","Premier League","2014-2015",17000000,20000000
"Filipe Luís","Left-Back",28,"Atlético Madrid","LaLiga","Chelsea","Premier League","2014-2015",15000000,20000000
"Marcos Rojo","Centre-Back",24,"Sporting CP","Liga NOS","Man Utd","Premier League","2014-2015",12000000,20000000
"Thomas Vermaelen","Centre-Back",28,"Arsenal","Premier League","FC Barcelona","LaLiga","2014-2015",15000000,19000000
"Alberto Moreno","Left-Back",22,"Sevilla FC","LaLiga","Liverpool","Premier League","2014-2015",15000000,18000000
"Daley Blind","Left-Back",24,"AFC Ajax","Eredivisie","Man Utd","Premier League","2014-2015",12000000,17500000
"Javi García","Defensive Midfield",27,"Man City","Premier League","Zenit S-Pb","Premier Liga","2014-2015",12000000,16800000
"Fernando","Defensive Midfield",26,"FC Porto","Liga NOS","Man City","Premier League","2014-2015",17500000,15000000
"Mathieu Debuchy","Right-Back",28,"Newcastle","Premier League","Arsenal","Premier League","2014-2015",10000000,15000000
"Gabriel Paulista","Centre-Back",24,"Villarreal CF","LaLiga","Arsenal","Premier League","2014-2015",8000000,15000000
"Enner Valencia","Centre-Forward",24,"CF Pachuca","Liga MX Clausura","West Ham","Premier League","2014-2015",1600000,15000000
"Shane Long","Centre-Forward",27,"Hull City","Premier League","Southampton","Premier League","2014-2015",6000000,14900000
"Dusan Tadic","Attacking Midfield",25,"FC Twente","Eredivisie","Southampton","Premier League","2014-2015",10000000,14000000
"Ryan Bertrand","Left-Back",25,"Chelsea","Premier League","Southampton","Premier League","2014-2015",6000000,13340000
"Loïc Rémy","Centre-Forward",27,"QPR","Premier League","Chelsea","Premier League","2014-2015",12000000,13200000
"Ben Davies","Left-Back",21,"Swansea","Premier League","Spurs","Premier League","2014-2015",5500000,12650000
"Brown Ideye","Centre-Forward",25,"Dynamo Kyiv","Premier Liga","West Brom","Premier League","2014-2015",7000000,12630000
"Divock Origi","Centre-Forward",19,"LOSC Lille","Ligue 1","Liverpool","Premier League","2014-2015",1000000,12630000
"Jack Rodwell","Defensive Midfield",23,"Man City","Premier League","Sunderland","Premier League","2014-2015",12000000,12600000
"Fraser Forster","Goalkeeper",26,"Celtic","Premiership","Southampton","Premier League","2014-2015",4500000,12500000
"Emre Can","Defensive Midfield",20,"Bay. Leverkusen","1.Bundesliga","Liverpool","Premier League","2014-2015",7500000,12000000
"Abel Hernández","Centre-Forward",24,"US Palermo","Serie A","Hull City","Premier League","2014-2015",5000000,12000000
"Graziano Pellè","Centre-Forward",29,"Feyenoord","Eredivisie","Southampton","Premier League","2014-2015",6500000,11000000
"Steven Caulker","Centre-Back",22,"Cardiff","Championship","QPR","Premier League","2014-2015",7500000,10750000
"Gylfi Sigurdsson","Attacking Midfield",24,"Spurs","Premier League","Swansea","Premier League","2014-2015",8000000,10100000
"Leonardo Ulloa","Centre-Forward",28,"Brighton","Championship","Leicester","Premier League","2014-2015",2000000,10100000
"Rémy Cabella","Attacking Midfield",24,"Montpellier","Ligue 1","Newcastle","Premier League","2014-2015",10000000,10000000
"Leroy Fer","Central Midfield",24,"Norwich","Championship","QPR","Premier League","2014-2015",8500000,10000000
"Federico Fazio","Centre-Back",27,"Sevilla FC","LaLiga","Spurs","Premier League","2014-2015",8000000,10000000
"Federico Fernández","Centre-Back",25,"SSC Napoli","Serie A","Swansea","Premier League","2014-2015",5000000,10000000
"Andrej Kramaric","Centre-Forward",23,"HNK Rijeka","1.HNL","Leicester","Premier League","2014-2015",4500000,9000000
"James McArthur","Central Midfield",26,"Wigan","Championship","Crystal Palace","Premier League","2014-2015",3000000,8800000
"Siem de Jong","Attacking Midfield",25,"AFC Ajax","Eredivisie","Newcastle","Premier League","2014-2015",10000000,8700000
"Shinji Kagawa","Attacking Midfield",25,"Man Utd","Premier League","Bor. Dortmund","1.Bundesliga","2014-2015",15000000,8000000
"Willy Caballero","Goalkeeper",32,"Málaga CF","LaLiga","Man City","Premier League","2014-2015",5000000,8000000
"Jordon Mutch","Central Midfield",22,"Cardiff","Championship","QPR","Premier League","2014-2015",3000000,7570000
"Sandro","Defensive Midfield",25,"Spurs","Premier League","QPR","Premier League","2014-2015",11000000,7500000
"Cheikhou Kouyaté","Defensive Midfield",24,"RSC Anderlecht","Jupiler Pro League","West Ham","Premier League","2014-2015",7000000,7500000
"Robert Snodgrass","Right Winger",26,"Norwich","Championship","Hull City","Premier League","2014-2015",5500000,7500000
"Mapou Yanga-Mbiwa","Centre-Back",25,"Newcastle","Premier League","AS Roma","Serie A","2014-2015",6000000,7350000
"Jake Livermore","Defensive Midfield",24,"Spurs","Premier League","Hull City","Premier League","2014-2015",2500000,7000000
"Florin Gardos","Centre-Back",25,"FCS Bucharest","Liga 1","Southampton","Premier League","2014-2015",6000000,6800000
"Dele Alli","Attacking Midfield",18,"MK Dons","League One","Spurs","Premier League","2014-2015",2000000,6630000
"Kyle Naughton","Right-Back",26,"Spurs","Premier League","Swansea","Premier League","2014-2015",5000000,6600000
"Callum McManaman","Right Winger",23,"Wigan","Championship","West Brom","Premier League","2014-2015",3000000,6350000
"Jordon Mutch","Central Midfield",23,"QPR","Premier League","Crystal Palace","Premier League","2014-2015",6000000,6340000
"Emmanuel Rivière","Centre-Forward",24,"Monaco","Ligue 1","Newcastle","Premier League","2014-2015",5000000,6320000
"Demba Ba","Centre-Forward",29,"Chelsea","Premier League","Besiktas","Süper Lig","2014-2015",11000000,6000000
"Oussama Assaidi","Left Winger",26,"Liverpool","Premier League","Al-Ahli (UAE)","UAE Gulf League","2014-2015",5000000,6000000
"Daryl Janmaat","Right-Back",25,"Feyenoord","Eredivisie","Newcastle","Premier League","2014-2015",5000000,6000000
"Carlos Sánchez","Defensive Midfield",28,"Elche CF","LaLiga","Aston Villa","Premier League","2014-2015",4000000,6000000
"Benjamin Stambouli","Centre-Back",24,"Montpellier","Ligue 1","Spurs","Premier League","2014-2015",5000000,5900000
"Michel Vorm","Goalkeeper",30,"Swansea","Premier League","Spurs","Premier League","2014-2015",7000000,5690000
"Rickie Lambert","Centre-Forward",32,"Southampton","Premier League","Liverpool","Premier League","2014-2015",5000000,5500000
"Alexander Büttner","Left-Back",25,"Man Utd","Premier League","Dinamo Moscow","Premier Liga","2014-2015",3500000,5500000
"Pape Souaré","Left-Back",24,"LOSC Lille","Ligue 1","Crystal Palace","Premier League","2014-2015",3500000,5330000
"Pablo Hernández","Right Winger",29,"Swansea","Premier League","Al Arabi","Stars League","2014-2015",8000000,5000000
"Chico","Centre-Back",27,"Swansea","Premier League","Al Duhail","Stars League","2014-2015",6500000,5000000
"Eric Dier","Defensive Midfield",20,"Sporting CP","Liga NOS","Spurs","Premier League","2014-2015",3500000,5000000
"Jefferson Montero","Left Winger",24,"Morelia","Liga MX Clausura","Swansea","Premier League","2014-2015",3300000,5000000
"Diafra Sakho","Centre-Forward",24,"FC Metz","Ligue 1","West Ham","Premier League","2014-2015",3000000,5000000
"Karl Darlow","Goalkeeper",23,"Nottm Forest","Championship","Newcastle","Premier League","2014-2015",1000000,5000000
"Jamaal Lascelles","Centre-Back",20,"Nottm Forest","Championship","Newcastle","Premier League","2014-2015",600000,5000000
"Muhamed Besic","Defensive Midfield",21,"Ferencváros","NB I.","Everton","Premier League","2014-2015",2500000,4800000
"Aaron Cresswell","Left-Back",24,"Ipswich","Championship","West Ham","Premier League","2014-2015",1500000,4750000
"Mohamed Diamé","Central Midfield",27,"West Ham","Premier League","Hull City","Premier League","2014-2015",7000000,4400000
"Michael Dawson","Centre-Back",30,"Spurs","Premier League","Hull City","Premier League","2014-2015",6500000,4400000
"Carles Gil","Right Winger",22,"Valencia CF","LaLiga","Aston Villa","Premier League","2014-2015",6000000,4200000
"Daniel Agger","Centre-Back",29,"Liverpool","Premier League","Bröndby IF","Superligaen","2014-2015",15000000,4000000
"Esteban Granero","Central Midfield",27,"QPR","Premier League","Real Sociedad","LaLiga","2014-2015",5000000,4000000
"Kevin De Bruyne","Attacking Midfield",24,"VfL Wolfsburg","1.Bundesliga","Man City","Premier League","2015-2016",45000000,76000000
"Raheem Sterling","Right Winger",20,"Liverpool","Premier League","Man City","Premier League","2015-2016",40000000,63700000
"Ángel Di María","Right Winger",27,"Man Utd","Premier League","Paris SG","Ligue 1","2015-2016",50000000,63000000
"Anthony Martial","Left Winger",19,"Monaco","Ligue 1","Man Utd","Premier League","2015-2016",8000000,60000000
"Christian Benteke","Centre-Forward",24,"Aston Villa","Premier League","Liverpool","Premier League","2015-2016",20000000,46500000
